device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw),Battery Remaining (%) [%]
nexus6p,http-195-169-225-46-8001-n-body-methods-lavamd-build-wasm-run-html,fenix,221062.6741445211,960763.6675954281,99.6
nexus6p,http-195-169-225-46-8001-n-body-methods-lavamd-build-wasm-run-html,chrome,124514.48716331125,948844.4836255407,99.33333333333333
nexus6p,http-195-169-225-46-8001-spectral-methods-fft-build-js-run-html,fenix,70493.56399907175,660424.9452098589,99.73333333333333
nexus6p,http-195-169-225-46-8001-spectral-methods-fft-build-js-run-html,chrome,95189.23315299228,1100585.9811455815,99.4
nexus6p,http-195-169-225-46-8001-map-reduce-page-rank-build-js-run-html,fenix,141922.65322628815,875545.4509444896,99.86666666666666
nexus6p,http-195-169-225-46-8001-map-reduce-page-rank-build-js-run-html,chrome,61582.70421084489,973771.9674788568,99.4
nexus6p,http-195-169-225-46-8001-graphical-models-hmm-build-js-run-html,fenix,139900.41954034183,749054.8427216883,99.4
nexus6p,http-195-169-225-46-8001-graphical-models-hmm-build-js-run-html,chrome,116399.3315405518,1004919.510918517,99.73333333333333
nexus6p,http-195-169-225-46-8001-graphical-models-hmm-build-wasm-run-html,fenix,202638.80275830068,848525.7722533372,99.4
nexus6p,http-195-169-225-46-8001-graphical-models-hmm-build-wasm-run-html,chrome,106461.69068571362,884749.0080580286,98.8
nexus6p,http-195-169-225-46-8001-dynamic-programming-nw-build-js-run-html,fenix,267425.96933227614,954241.3494447587,99.33333333333333
nexus6p,http-195-169-225-46-8001-dynamic-programming-nw-build-js-run-html,chrome,311327.2081042648,1214030.3757393647,99.0
nexus6p,http-195-169-225-46-8001-branch-and-bound-nqueens-build-wasm-run-html,fenix,183998.42782709608,877012.5688589303,99.06666666666666
nexus6p,http-195-169-225-46-8001-branch-and-bound-nqueens-build-wasm-run-html,chrome,83678.95212376154,879925.3058512195,99.4
nexus6p,http-195-169-225-46-8001-dynamic-programming-nw-build-wasm-run-html,fenix,104727.98426585364,708595.842932518,99.86666666666666
nexus6p,http-195-169-225-46-8001-dynamic-programming-nw-build-wasm-run-html,chrome,62605.16720016904,836895.3460324253,98.86666666666666
nexus6p,http-195-169-225-46-8001-n-body-methods-lavamd-build-js-run-html,fenix,150195.07891865174,823562.8011686434,98.6
nexus6p,http-195-169-225-46-8001-n-body-methods-lavamd-build-js-run-html,chrome,209072.33764801954,1128782.4605517387,99.46666666666667
nexus6p,http-195-169-225-46-8001-map-reduce-page-rank-build-wasm-run-html,fenix,213152.1351594475,908802.258937209,99.66666666666667
nexus6p,http-195-169-225-46-8001-map-reduce-page-rank-build-wasm-run-html,chrome,154350.39529523114,973906.3634244676,99.26666666666667
nexus6p,http-195-169-225-46-8001-dense-linear-algebra-lud-build-wasm-run-html,fenix,190643.06751344985,906195.7953562036,98.6
nexus6p,http-195-169-225-46-8001-dense-linear-algebra-lud-build-wasm-run-html,chrome,121314.74684818208,851526.8550235704,99.06666666666666
nexus6p,http-195-169-225-46-8001-branch-and-bound-nqueens-build-js-run-html,fenix,100250.59398627018,792812.7274741285,99.66666666666667
nexus6p,http-195-169-225-46-8001-branch-and-bound-nqueens-build-js-run-html,chrome,125457.7044553672,998124.061873325,98.6
nexus6p,http-195-169-225-46-8001-dense-linear-algebra-lud-build-js-run-html,fenix,94535.47704924451,750207.9344030403,99.46666666666667
nexus6p,http-195-169-225-46-8001-dense-linear-algebra-lud-build-js-run-html,chrome,89084.19246089396,870032.7005361575,99.33333333333333
nexus6p,http-195-169-225-46-8001-spectral-methods-fft-build-wasm-run-html,fenix,430380.0348724365,1299577.9128657628,99.06666666666666
nexus6p,http-195-169-225-46-8001-spectral-methods-fft-build-wasm-run-html,chrome,315943.4774078715,1333993.046879275,98.8
